WordCounter 1Nephi.txt
desired => 5
departed => 5
declare => 5
cut => 5
covenant => 5
commandment => 5
chosen => 5
carry => 5
built => 5
brothers => 5
bondage => 5
beasts => 5
any => 5
accomplish => 5
How => 5
Father => 5
Abraham => 5
workmanship => 4
womb => 4
wither => 4
whoso => 4
virgin => 4
tremble => 4
treasury => 4
terrible => 4
stones => 4
state => 4
spiritual => 4
spirit => 4
some => 4
smitten => 4
small => 4
shouldst => 4
sent => 4
sat => 4
returned => 4
remainder => 4
provisions => 4
prosper => 4
prophesied => 4
property => 4
proceedings => 4
praise => 4
places => 4
persuade => 4
perished => 4
peace => 4
path => 4
overcome => 4
only => 4
night => 4
never => 4
nearly => 4
natural => 4
mountain => 4
mist => 4
ministry => 4
mercy => 4
manifested => 4
look => 4
live => 4
light => 4
law => 4
kings => 4
justice => 4
inasmuch => 4
holy => 4
heed => 4
hearkened => 4
grieved => 4
generations => 4
garments => 4
four => 4
found => 4
formation => 4
forgotten => 4
forget => 4
filthiness => 4
fallen => 4
everlasting => 4
ever => 4
established => 4
dust => 4
durst => 4
drowned => 4
doth => 4
digged => 4
descending => 4
curse => 4
created => 4
contentions => 4
churches => 4
choice => 4
call => 4
branches => 4
borders => 4
become => 4
battle => 4
baptized => 4
bade => 4
awful => 4
arose => 4
arms => 4
arm => 4
able => 4
Zoram => 4
Zion => 4
We => 4
Thus => 4
These => 4
Savior => 4
Sariah => 4
In => 4
Egyptians => 4
Egypt => 4
Babylon => 4
Amen => 4
yourselves => 3
young => 3
writing => 3
women => 3
wives => 3
wisdom => 3
wilt => 3
why => 3
whiteness => 3
wherewith => 3
whatsoever => 3
waste => 3
wandered => 3
visionary => 3
vapor => 3
vain => 3
utter => 3
understanding => 3
under => 3
tribes => 3
trample => 3
tools => 3
timbers => 3
throne => 3
thought => 3
thither => 3
thirst => 3
tender => 3
temptations => 3
tempest => 3
tasted => 3
tarry => 3
sweet => 3
surety => 3
supposed => 3
suffereth => 3
such => 3
strange => 3
speedily => 3
sorrow => 3
soon => 3
son => 3
smote => 3
sins => 3
singing => 3
shoulders => 3
shake => 3
servants => 3
sake => 3
right => 3
remembered => 3
receive => 3
reason => 3
put => 3
purposes => 3
purpose => 3
prophesy => 3
probation => 3
pride => 3
pressing => 3
pray => 3
poured => 3
possess => 3
pit => 3
paths => 3
passed => 3
partook => 3
partaking => 3
parents => 3
obtained => 3
obedient => 3
oath => 3
number => 3
notwithstanding => 3
mysteries => 3
multitude => 3
molten => 3
minister => 3
minds => 3
mightier => 3
mention => 3
means => 3
meaning => 3
making => 3
love => 3
loss => 3
long => 3
leave => 3
learning => 3
leadeth => 3
latter => 3
labor => 3
kingdoms => 3
king => 3
judgments => 3
judge => 3
its => 3
inhabitants => 3
imaginations => 3
hunger => 3
hold => 3
hither => 3
hereafter => 3
hardened => 3
ground => 3
goodness => 3
going => 3
glad => 3
gift => 3
get => 3
founder => 3
following => 3
fled => 3
fifty => 3
feeling => 3
feed => 3
favored => 3
fair => 3
exceed => 3
enter => 3
dwindle => 3
drunken => 3
divided => 3
diligently => 3
desolate => 3
depart => 3
death => 3
dark => 3
cried => 3
course => 3
continually => 3
contend => 3
construct => 3
commencement => 3
command => 3
cities => 3
child => 3
caught => 3
captive => 3
brightness => 3
break => 3
branch => 3
bows => 3
books => 3
blindness => 3
bless => 3
bind => 3
beautiful => 3
baptize => 3
bands => 3
aside => 3
ashamed => 3
apostle => 3
anger => 3
angels => 3
along => 3
alone => 3
affliction => 3
afflicted => 3
across => 3
Zenos => 3
Zedekiah => 3
Thy => 3
They => 3
That => 3
Satan => 3
Neither => 3
Knowest => 3
Judah => 3
It => 3
Isaac => 3
If => 3
Hearken => 3
Eternal => 3
Do => 3
Bountiful => 3
year => 2
wroth => 2
wo => 2
wise => 2
wine => 2
wind => 2
wickedly => 2
whereby => 2
war => 2
walk => 2
visited => 2
visit => 2
understood => 2
twined => 2
tumble => 2
touch => 2
too => 2
told => 2
thunderings => 2
thrust => 2
thinketh => 2
teacher => 2
taught => 2
tarried => 2
talked => 2
swollen => 2
swear => 2
sun => 2
sufficeth => 2
sufferings => 2
stumble => 2
stubble => 2
strong => 2
strive => 2
strait => 2
straight => 2
storm => 2
stir => 2
still => 2
steel => 2
stature => 2
standard => 2
stand => 2
springs => 2
spirits => 2
speaketh => 2
souls => 2
sore => 2
somewhat => 2
sojourn => 2
smooth => 2
smoke => 2
slayeth => 2
six => 2
since => 2
silks => 2
sign => 2
side => 2
sick => 2
sheep => 2
separated => 2
seashore => 2
scourge => 2
scarlets => 2
sand => 2
sailed => 2
sacrifice => 2
sacred => 2
rudeness => 2
rocks => 2
robe => 2
roads => 2
restoration => 2
required => 2
rent => 2
quarters => 2
quake => 2
purity => 2
pure => 2
provide => 2
prophesying => 2
profit => 2
prey => 2
press => 2
preached => 2
praising => 2
pointing => 2
pleasure => 2
pleasing => 2
plead => 2
pertaining => 2
overpower => 2
ourselves => 2
ordained => 2
oft => 2
offerings => 2
offer => 2
nursing => 2
numberless => 2
numbered => 2
nourishment => 2
nothing => 2
new => 2
narrow => 2
morrow => 2
ministers => 2
ministered => 2
mightest => 2
mercies => 2
meet => 2
meat => 2
mean => 2
mayest => 2
master => 2
low => 2
loveth => 2
loved => 2
loud => 2
loose => 2
loins => 2
living => 2
liveth => 2
linen => 2
liken => 2
lightnings => 2
knowing => 2
knoweth => 2
knowest => 2
journeyings => 2
inquire => 2
iniquities => 2
image => 2
hundred => 2
household => 2
honey => 2
heeded => 2
heardest => 2
healed => 2
heads => 2
hated => 2
happy => 2
gulf => 2
guide => 2
grief => 2
greater => 2
graven => 2
grafted => 2
good => 2
goeth => 2
goat => 2
giveth => 2
gives => 2
generation => 2
gain => 2
further => 2
fruits => 2
fro => 2
frightened => 2
fourth => 2
foundation => 2
form => 2
forgive => 2
forefathers => 2
forbidden => 2
foolish => 2
fold => 2
fingers => 2
final => 2
fiery => 2
field => 2
few => 2
fertile => 2
feared => 2
fast => 2
expedient => 2
excuse => 2
exclaim => 2
exceeding => 2
eternal => 2
establish => 2
err => 2
engravings => 2
endure => 2
emptied => 2
eldest => 2
elders => 2
either => 2
dwindled => 2
due => 2
dry => 2
dressed => 2
dreary => 2
dreamed => 2
dominion => 2
doings => 2
divide => 2
discover => 2
directions => 2
direction => 2
died => 2
devils => 2
destroyeth => 2
desirest => 2
desires => 2
desire => 2
descendant => 2
deliverance => 2
dead => 2
curious => 2
cry => 2
cross => 2
covenanted => 2
cords => 2
convincing => 2
contained => 2
contain => 2
condescension => 2
concourses => 2
complained => 2
complain => 2
compass => 2
compared => 2
commence => 2
comforted => 2
clothing => 2
chastened => 2
caused => 2
captives => 2
burnt => 2
burned => 2
buried => 2
bowels => 2
bound => 2
borne => 2
blow => 2
blind => 2
beyond => 2
better => 2
belongeth => 2
bellows => 2
believing => 2
begin => 2
beauty => 2
bearing => 2
bare => 2
attitude => 2
arrows => 2
arrow => 2
armies => 2
arise => 2
abundance => 2
abroad => 2
Ye => 2
Then => 2
Shazer => 2
Pharaoh => 2
Our => 2
Nazareth => 2
Nay => 2
Mighty => 2
Let => 2
Jordan => 2
Jeremiah => 2
Isaiah => 2
Hosts => 2
He => 2
Go => 2
Chaldeans => 2
Blessed => 2
Almighty => 2
A => 2
yoketh => 1
yoke => 1
yieldeth => 1
yesterday => 1
wrist => 1
wouldst => 1
worthy => 1
workings => 1
worketh => 1
wood => 1
wonders => 1
woman => 1
witnessed => 1
witness => 1
within => 1
withhold => 1
winds => 1
willing => 1
whole => 1
whit => 1
where => 1
whence => 1
west => 1
weary => 1
weakness => 1
weak => 1
waves => 1
watery => 1
wast => 1
want => 1
wandering => 1
wander => 1
wait => 1
wade => 1
visiting => 1
visions => 1
virgins => 1
vine => 1
view => 1
utterly => 1
use => 1
uprightly => 1
unloose => 1
unless => 1
unfolded => 1
understand => 1
unavoidably => 1
turned => 1
tumultuous => 1
tumbling => 1
treat => 1
treacherously => 1
traveling => 1
transpired => 1
transgressor => 1
tortureth => 1
torment => 1
top => 1
tongue => 1
toiled => 1
till => 1
tidings => 1
thunder => 1
throw => 1
threatenings => 1
threatened => 1
thousands => 1
though => 1
thirsted => 1
thinking => 1
think => 1
testify => 1
tens => 1
temporally => 1
tells => 1
telling => 1
tell => 1
tears => 1
teacheth => 1
teach => 1
tasks => 1
taking => 1
taketh => 1
swift => 1
surrounded => 1
supposing => 1
sunk => 1
suffers => 1
suffering => 1
suddenly => 1
sucking => 1
suck => 1
stumbling => 1
striving => 1
stricken => 1
stretched => 1
strengthen => 1
straitened => 1
straiten => 1
stoned => 1
stiffneckedness => 1
stick => 1
steer => 1
steadfast => 1
stay => 1
statutes => 1
stars => 1
standeth => 1
stall => 1
spit => 1
spiritually => 1
spindles => 1
spent => 1
special => 1
speakest => 1
spare => 1
spanned => 1
southeast => 1
south => 1
soreness => 1
sooner => 1
sold => 1
soberness => 1
snow => 1
slow => 1
slings => 1
sling => 1
slaying => 1
slaughters => 1
skins => 1
sitting => 1
sit => 1
sing => 1
sinew => 1
simpleness => 1
signs => 1
sight => 1
shrunk => 1
shortly => 1
short => 1
shore => 1
shoes => 1
shock => 1
shepherd => 1
sheddeth => 1
shed => 1
sheath => 1
sharp => 1
shaken => 1
shaft => 1
shadow => 1
serpents => 1
sepulchre => 1
seize => 1
seeketh => 1
seeing => 1
secret => 1
seat => 1
searched => 1
search => 1
sealed => 1
scriptures => 1
scourged => 1
scorn => 1
scoffing => 1
scattering => 1
says => 1
sakes => 1
safely => 1
running => 1
ruleth => 1
rulers => 1
rough => 1
room => 1
robber => 1
rise => 1
ripeness => 1
ripe => 1
riches => 1
reviled => 1
revile => 1
restored => 1
restore => 1
rest => 1
repenteth => 1
repented => 1
rend => 1
removing => 1
remnants => 1
remembrance => 1
rememberest => 1
remain => 1
rely => 1
rejoiced => 1
rejecting => 1
reigneth => 1
rehearse => 1
refrain => 1
refined => 1
reed => 1
redemption => 1
redeemed => 1
rebellion => 1
raw => 1
ran => 1
raiseth => 1
quiver => 1
quench => 1
queens => 1
quaking => 1
pursue => 1
publish => 1
proud => 1
protected => 1
prosperous => 1
proceeding => 1
proceedeth => 1
prisoners => 1
prison => 1
princes => 1
present => 1
preparing => 1
prepareth => 1
preparator => 1
preach => 1
praying => 1
prayers => 1
powerful => 1
possible => 1
possessions => 1
possessed => 1
popular => 1
pondering => 1
polluted => 1
polished => 1
points => 1
pointers => 1
pointed => 1
point => 1
plenty => 1
plant => 1
plains => 1
plainness => 1
plainly => 1
pitched => 1
pillar => 1
pieces => 1
perverted => 1
pervert => 1
perishing => 1
period => 1
perform => 1
pastures => 1
pasture => 1
pastors => 1
past => 1
particularly => 1
particular => 1
partaken => 1
parent => 1
palms => 1
pained => 1
pacified => 1
ox => 1
overtake => 1
ought => 1
ornament => 1
oppress => 1
opening => 1
opened => 1
ones => 1
offspring => 1
offering => 1
occupy => 1
obtaining => 1
obstinate => 1
obscurity => 1
obliged => 1
obey => 1
nursed => 1
numbers => 1
numbereth => 1
nourished => 1
nourish => 1
north => 1
noon => 1
none => 1
noises => 1
neck => 1
nearer => 1
nature => 1
names => 1
murmurings => 1
murmuring => 1
murmured => 1
murderers => 1
move => 1
mourned => 1
mourn => 1
mount => 1
mothers => 1
morning => 1
mocking => 1
mock => 1
mixture => 1
mists => 1
miracles => 1
ministering => 1
mind => 1
midst => 1
methought => 1
merry => 1
mattereth => 1
matchless => 1
manna => 1
mankind => 1
male => 1
maketh => 1
lusts => 1
luster => 1
lust => 1
lowliness => 1
loving => 1
lots => 1
lot => 1
lose => 1
loathsome => 1
loading => 1
lo => 1
lives => 1
little => 1
likened => 1
lift => 1
lies => 1
lie => 1
lick => 1
learned => 1
leading => 1
lawful => 1
later => 1
latchet => 1
laid => 1
laden => 1
lacking => 1
labored => 1
knewest => 1
kindred => 1
kindness => 1
kill => 1
keys => 1
justified => 1
just => 1
joyous => 1
joyful => 1
journeying => 1
joints => 1
itself => 1
interpreted => 1
interpretation => 1
intent => 1
instruction => 1
instructed => 1
instruct => 1
inquired => 1
inherit => 1
inhabited => 1
inhabit => 1
immovable => 1
idol => 1
idleness => 1
husband => 1
humbled => 1
hours => 1
horse => 1
hopes => 1
hope => 1
honor => 1
holding => 1
hitherto => 1
history => 1
hiss => 1
hilt => 1
highways => 1
highly => 1
hide => 1
hidden => 1
heritages => 1
henceforth => 1
helped => 1
held => 1
heat => 1
haste => 1
harshness => 1
hardeneth => 1
handed => 1
hairs => 1
hair => 1
hadst => 1
gushed => 1
guilty => 1
grow => 1
groanings => 1
grievous => 1
grey => 1
greatest => 1
gravel => 1
grave => 1
grain => 1
grafting => 1
goodly => 1
glorious => 1
glorified => 1
giving => 1
girded => 1
gird => 1
gifts => 1
gathereth => 1
future => 1
furnace => 1
fully => 1
fulfill => 1
free => 1
frankly => 1
frames => 1
frame => 1
founded => 1
forsaken => 1
former => 1
formed => 1
forgiveness => 1
forests => 1
footstool => 1
foot => 1
fool => 1
followed => 1
flying => 1
flow => 1
flight => 1
flaming => 1
five => 1
firmament => 1
firm => 1
finished => 1
finger => 1
female => 1
feel => 1
fed => 1
fears => 1
favor => 1
fatigued => 1
fatigue => 1
famine => 1
faithfulness => 1
faculty => 1
extended => 1
exhorting => 1
exercise => 1
execute => 1
except => 1
example => 1
exalted => 1
esteemeth => 1
esteem => 1
especially => 1
ensnare => 1
enjoyed => 1
energy => 1
energies => 1
enemies => 1
ends => 1
eight => 1
easy => 1
eastward => 1
east => 1
easiness => 1
earthquakes => 1
ears => 1
ear => 1
dwindling => 1
driving => 1
dried => 1
drew => 1
dress => 1
dreams => 1
dove => 1
doubt => 1
door => 1
dominions => 1
doing => 1
doctrine => 1
divideth => 1
disputing => 1
disputations => 1
diseases => 1
disciples => 1
dimmed => 1
diligent => 1
difficulty => 1
difficult => 1
die => 1
didst => 1
devoured => 1
destructions => 1
destroyers => 1
despiseth => 1
despised => 1
desiring => 1
deserts => 1
descended => 1
descendants => 1
deny => 1
delivering => 1
defer => 1
deed => 1
deceive => 1
dealings => 1
deal => 1
daughter => 1
darts => 1
dance => 1
cutteth => 1
curseth => 1
cunning => 1
crucify => 1
crucified => 1
crossed => 1
crept => 1
creation => 1
cow => 1
courage => 1
counsels => 1
copper => 1
cook => 1
continue => 1
contendeth => 1
contains => 1
containeth => 1
consuming => 1
consumed => 1
consult => 1
constraineth => 1
constrained => 1
consists => 1
consisted => 1
considered => 1
consider => 1
confound => 1
complaining => 1
compassion => 1
commenced => 1
commandeth => 1
coming => 1
comfort => 1
clothe => 1
clinging => 1
clave => 1
chasten => 1
changed => 1
center => 1
ceaseth => 1
cavity => 1
casting => 1
canst => 1
calves => 1
calm => 1
byword => 1
burst => 1
brow => 1
broad => 1
bringing => 1
bringeth => 1
bride => 1
breathe => 1
born => 1
bore => 1
blocks => 1
blindeth => 1
blinded => 1
blessings => 1
blade => 1
bitten => 1
bindeth => 1
big => 1
belonged => 1
belong => 1
believest => 1
believed => 1
behind => 1
behalf => 1
begotten => 1
begat => 1
beforehand => 1
beds => 1
bed => 1
beckoned => 1
became => 1
beareth => 1
baptism => 1
bank => 1
authority => 1
asunder => 1
astonishment => 1
assemble => 1
ass => 1
ask => 1
ascendeth => 1
arts => 1
arrived => 1
arrive => 1
armor => 1
armed => 1
appears => 1
anything => 1
anyone => 1
answered => 1
ankles => 1
animals => 1
anguish => 1
always => 1
altar => 1
already => 1
almighty => 1
air => 1
age => 1
adversary => 1
accord => 1
accomplished => 1
acceptable => 1
abridgment => 1
abridged => 1
abomination => 1
abide => 1
abhorreth => 1
Zenock => 1
Wo => 1
Why => 1
Who => 1
Whither => 1
Upon => 1
To => 1
Surely => 1
Stretch => 1
Slay => 1
Sinim => 1
Sing => 1
Show => 1
Shepherd => 1
Rememberest => 1
Prepare => 1
Never => 1
Neum => 1
Nahom => 1
Mine => 1
Listen => 1
Lift => 1
Know => 1
Kings => 1
John => 1
Irreantum => 1
Inasmuch => 1
Hosanna => 1
Hear => 1
Have => 1
Great => 1
Gospel => 1
Eve => 1
Doth => 1
